"","Round","Pick","QB","RB","WR","TE","OT","OG","OC","EDGE","DL","CB","LB","S","K","P","Position_Name1","Position_Name2","Position_Name3","max_val"
"1",1,1,16,0,0,0,2,0,0,4,0,0,0,0,0,0,"QB","QB","QB",16
"2",1,2,5,3,2,0,5,0,0,4,1,0,2,0,0,0,"QB","OT","OT",5
"3",1,3,6,1,3,0,2,0,0,4,4,1,1,0,0,0,"QB","QB","QB",6
"4",1,4,1,4,4,1,6,0,0,3,1,1,1,0,0,0,"OT","OT","OT",6
"5",1,5,2,3,3,0,1,1,0,2,1,6,3,0,0,0,"CB","CB","CB",6
"6",1,6,2,0,2,2,4,1,0,3,4,4,0,0,0,0,"OT","CB","DL",4
"7",1,7,2,2,6,0,2,1,0,3,2,3,1,0,0,0,"WR","WR","WR",6
"8",1,8,2,1,3,1,3,0,0,2,0,6,4,0,0,0,"CB","CB","CB",6
"9",1,9,0,1,4,0,2,1,0,1,3,4,6,0,0,0,"LB","LB","LB",6
"10",1,10,4,1,4,1,2,1,0,3,1,3,2,0,0,0,"QB","WR","WR",4
"11",1,11,3,1,0,0,5,0,0,4,1,6,2,0,0,0,"CB","CB","CB",6
"12",1,12,2,3,2,0,1,0,0,2,8,1,3,0,0,0,"DL","DL","DL",8
"13",1,13,0,1,3,0,4,1,0,1,7,0,5,0,0,0,"DL","DL","DL",7
"14",1,14,0,0,1,2,2,2,0,4,5,6,0,0,0,0,"CB","CB","CB",6
"15",1,15,2,1,4,0,1,2,0,3,1,4,4,0,0,0,"WR","LB","WR",4
"16",1,16,1,1,1,0,3,0,0,2,2,6,6,0,0,0,"CB","LB","LB",6
"17",1,17,1,0,2,0,3,3,0,3,2,4,4,0,0,0,"CB","LB","CB",4
"18",1,18,2,1,0,0,2,0,3,6,1,6,1,0,0,0,"EDGE","CB","EDGE",6
"19",1,19,1,1,2,1,4,1,1,2,2,4,3,0,0,0,"OT","CB","OT",4
"20",1,20,0,0,5,2,3,1,1,5,0,4,1,0,0,0,"WR","EDGE","EDGE",5
"21",1,21,0,1,4,3,2,0,3,2,2,4,1,0,0,0,"WR","CB","CB",4
"22",1,22,5,1,5,0,3,0,0,1,0,3,4,0,0,0,"QB","WR","QB",5
"23",1,23,0,3,2,1,5,3,0,2,2,2,2,0,0,0,"OT","OT","OT",5
"24",1,24,1,4,2,1,1,1,1,2,1,8,0,0,0,0,"CB","CB","CB",8
"25",1,25,2,1,4,1,1,0,0,1,2,7,3,0,0,0,"CB","CB","CB",7
"26",1,26,2,1,3,0,2,0,1,7,2,3,1,0,0,0,"EDGE","EDGE","EDGE",7
"27",1,27,0,5,4,1,0,1,0,1,1,8,1,0,0,0,"CB","CB","CB",8
"28",1,28,0,1,1,2,1,2,1,4,4,4,2,0,0,0,"EDGE","CB","CB",4
"29",1,29,0,0,5,1,3,1,1,2,4,4,1,0,0,0,"WR","WR","WR",5
"30",1,30,0,3,4,2,0,1,0,1,2,6,3,0,0,0,"CB","CB","CB",6
"31",1,31,0,4,1,2,1,1,1,1,1,5,5,0,0,0,"CB","LB","LB",5
"32",1,32,4,2,3,1,2,1,0,4,2,2,1,0,0,0,"QB","EDGE","QB",4
"33",2,33,0,0,5,0,1,2,2,2,1,7,2,0,0,0,"CB","CB","CB",7
"34",2,34,0,1,4,1,2,2,0,2,0,6,4,0,0,0,"CB","CB","CB",6
"35",2,35,1,3,1,3,2,1,0,2,4,2,3,0,0,0,"DL","DL","DL",4
"36",2,36,3,2,7,0,0,0,0,0,2,5,3,0,0,0,"WR","WR","WR",7
"37",2,37,0,1,2,0,3,3,1,1,3,6,2,0,0,0,"CB","CB","CB",6
"38",2,38,0,3,0,3,1,2,1,3,1,4,4,0,0,0,"CB","LB","CB",4
"39",2,39,1,0,3,0,4,3,1,1,1,5,3,0,0,0,"CB","CB","CB",5
"40",2,40,1,0,4,1,2,0,0,1,2,7,4,0,0,0,"CB","CB","CB",7
"41",2,41,0,3,4,1,2,2,0,1,3,4,2,0,0,0,"WR","CB","CB",4
"42",2,42,1,0,3,2,3,1,0,3,2,5,2,0,0,0,"CB","CB","CB",5
"43",2,43,1,2,1,2,1,0,1,1,2,7,4,0,0,0,"CB","CB","CB",7
"44",2,44,1,2,5,1,3,1,1,1,3,3,1,0,0,0,"WR","WR","WR",5
"45",2,45,0,2,4,1,1,1,1,0,0,7,5,0,0,0,"CB","CB","CB",7
"46",2,46,0,0,3,1,3,1,0,5,3,4,2,0,0,0,"EDGE","EDGE","EDGE",5
"47",2,47,0,0,4,2,1,1,0,1,2,4,7,0,0,0,"LB","LB","LB",7
