"","Round","Pick","Team","Name","Position","College","Score","Score.Multiplier","Combined.Rank","Score.Multiplier.Rank","Average.Rank"
"1","1","1","Jacksonville Jaguars","Evan Neal","OT","Alabama",590,767,3,2,2.5
"2","1","2","Detroit Lions","Kayvon Thibodeaux","EDGE","Oregon",598,717.6,1,8,4.5
"3","1","3","Houston Texans","Derek Stingley Jr.","CB","LSU",589,765.7,4,3,3.5
"4","1","4","New York Jets","Aidan Hutchinson","EDGE","Michigan",585,702,5,11,8
"5","1","5","New York Giants","George Karlaftis","EDGE","Purdue",578,693.6,6,13,9.5
"6","1","6","Carolina Panthers","Tyler Linderbaum","OG","Iowa",576,691.2,7,14,10.5
"7","1","7","New York Giants","Ikem Ekwonu","OG","North Carolina State",569,682.8,9,15,12
"8","1","8","Atlanta Falcons","Drake London","WR","USC",568,681.6,11,16,13.5
"9","1","9","Seattle Seahawks","Ahmad Gardner","CB","Cincinnati",571,742.3,8,6,7
"10","1","10","New York Jets","Charles Cross","OT","Mississippi State",568,738.4,10,7,8.5
"11","1","11","Washington Commanders","Garrett Wilson","WR","Ohio State",566,679.2,12,17,14.5
"12","1","12","Minnesota Vikings","Nakobe Dean","LB","Georgia",547,547,16,41,28.5
"13","1","13","Houston Texans","David Ojabo","EDGE","Michigan",527,632.4,20,24,22
"14","1","14","Baltimore Ravens","Jordan Davis","DL","Georgia",548,602.8,15,31,23
"15","1","15","Philadelphia Eagles","Devin Lloyd","LB","Utah",538,538,18,45,31.5
"16","1","16","New Orleans Saints","Jameson Williams","WR","Alabama",559,670.8,13,18,15.5
"17","1","17","Los Angeles Chargers","Chris Olave","WR","Ohio State",558,669.6,14,19,16.5
"18","1","18","Philadelphia Eagles","Treylon Burks","WR","Arkansas",539,646.8,17,22,19.5
"19","1","19","New Orleans Saints","Andrew Booth Jr.","CB","Clemson",534,694.2,19,12,15.5
"20","1","20","Pittsburgh Steelers","Kenny Pickett","QB","Pittsburgh",522,783,21,1,11
"21","1","21","New England Patriots","Kaiir Elam","CB","Florida",508,660.4,23,20,21.5
"22","1","22","Green Bay Packers","Jermaine Johnson II","EDGE","Florida State",504,604.8,26,30,28
"23","1","23","Arizona Cardinals","Logan Hall","DL","Houston",492,541.2,29,43,36
"24","1","24","Dallas Cowboys","Kyle Hamilton","S","Notre Dame",594,712.8,2,9,5.5
"25","1","25","Buffalo Bills","Kenyon Green","OG","Texas A&M",515,618,22,27,24.5
"26","1","26","Tennessee Titans","Zion Johnson","OG","Boston College",508,609.6,24,28,26
"27","1","27","Tampa Bay Buccaneers","Jahan Dotson","WR","Penn State",491,589.2,30,32,31
"28","1","28","Green Bay Packers","Travon Walker","DL","Georgia",482,530.2,34,47,40.5
"29","1","29","Kansas City Chiefs","Trent McDuffie","CB","Washington",490,637,31,23,27
"30","1","30","Kansas City Chiefs","Jaquan Brisker","S","Penn State",480,576,36,34,35
"31","1","31","Cincinnati Bengals","Trevor Penning","OT","Northern Iowa",480,624,35,26,30.5
"32","1","32","Detroit Lions","Desmond Ridder","QB","Cincinnati",504,756,25,4,14.5
"33","2","33","Jacksonville Jaguars","DeMarvin Leal","DL","Texas A&M",478,525.8,37,49,43
"34","2","34","Detroit Lions","Roger McCreary","CB","Auburn",484,629.2,33,25,29
"35","2","35","New York Jets","David Bell","WR","Purdue",469,562.8,41,38,39.5
"36","2","36","New York Giants","Bernhard Raimann","OT","Central Michigan",468,608.4,42,29,35.5
"37","2","37","Houston Texans","Matt Corral","QB","Ole Miss",499,748.5,27,5,16
"38","2","38","New York Jets","Derion Kendrick","CB","Georgia",452,587.6,46,33,39.5
"39","2","39","Chicago Bears","George Pickens","WR","Georgia",465,558,43,39,41
"40","2","40","Seattle Seahawks","Devonte Wyatt","DL","Georgia",474,521.4,39,50,44.5
"41","2","41","Seattle Seahawks","Drake Jackson","EDGE","USC",476,571.2,38,35,36.5
"42","2","42","Indianapolis Colts","Martin Emerson","CB","Mississippi State",433,562.9,52,37,44.5
"43","2","43","Atlanta Falcons","Malik Willis","QB","Liberty",470,705,40,10,25
"44","2","44","Cleveland Browns","Christian Harris","LB","Alabama",461,461,45,62,53.5
"45","2","45","Baltimore Ravens","Chad Muma","LB","Wyoming",444,444,49,64,56.5
"46","2","46","Minnesota Vikings","Kingsley Enagbare","EDGE","South Carolina",449,538.8,48,44,46
"47","2","47","Washington Commanders","Sam Howell","QB","North Carolina",438,657,51,21,36
"48","2","48","Chicago Bears","Darian Kinnard","OG","Kentucky",433,519.6,53,51,52
"49","2","49","New Orleans Saints","Trey McBride","TE","Colorado State",495,544.5,28,42,35
"50","2","50","Kansas City Chiefs","Arnold Ebiketie","EDGE","Penn State",439,526.8,50,48,49
"51","2","51","Philadelphia Eagles","Cameron Thomas","EDGE","San Diego State",422,506.4,58,55,56.5
"52","2","52","Pittsburgh Steelers","Nicholas Petit-Frere","OT","Ohio State",429,557.7,54,40,47
"53","2","53","Green Bay Packers","Justyn Ross","WR","Clemson",428,513.6,55,52,53.5
"54","2","54","New England Patriots","John Metchie III","WR","Alabama",415,498,59,56,57.5
"55","2","55","Arizona Cardinals","Kyler Gordon","CB","Washington",412,535.6,60,46,53
"56","2","56","Dallas Cowboys","Myjai Sanders","EDGE","Cincinnati",401,481.2,62,59,60.5
"57","2","57","Buffalo Bills","Perrion Winfrey","DL","Oklahoma",397,436.7,65,68,66.5
"58","2","58","Atlanta Falcons","Breece Hall","RB","Iowa State",487,438.3,32,66,49
"59","2","59","Green Bay Packers","Jalen Wydermyer","TE","Texas A&M",452,497.2,47,57,52
"60","2","60","Tampa Bay Buccaneers","Phidarian Mathis","DL","Alabama",391,430.1,66,71,68.5
"61","2","61","San Francisco 49ers","Carson Strong","QB","Nevada",376,564,72,36,54
"62","2","62","Kansas City Chiefs","Daniel Faalele","OT","Minnesota",390,507,67,54,60.5
"63","2","63","Cincinnati Bengals","Jamaree Salyer","OG","Georgia",363,435.6,74,69,71.5
"64","2","64","Denver Broncos","Damone Clark","LB","LSU",379,379,71,81,76
"65","3","65","Jacksonville Jaguars","Khalil Shakir","WR","Boise State",385,462,68,61,64.5
"66","3","66","Detroit Lions","Wan'Dale Robinson","WR","Kentucky",362,434.4,75,70,72.5
"67","3","67","New York Giants","Daxton Hill","S","Michigan",424,508.8,56,53,54.5
"68","3","68","Houston Texans","Lewis Cine","S","Georgia",404,484.8,61,58,59.5
"69","3","69","New York Jets","Jalen Pitre","S","Baylor",398,477.6,64,60,62
"70","3","70","Jacksonville Jaguars","Nik Bonitto","EDGE","Oklahoma",367,440.4,73,65,69
"71","3","71","Chicago Bears","Josh Jobe","CB","Alabama",348,452.4,77,63,70
"72","3","72","Seattle Seahawks","Sean Rhyan","OG","UCLA",340,408,79,77,78
"73","3","73","Indianapolis Colts","Cade Otton","TE","Washington",381,419.1,70,73,71.5
"74","3","74","Atlanta Falcons","Boye Mafe","EDGE","Minnesota",341,409.2,78,76,77
"75","3","75","Denver Broncos","Ed Ingram","OG","LSU",314,376.8,84,82,83
"76","3","76","Baltimore Ravens","Max Mitchell","OT","Louisiana",310,403,85,78,81.5
"77","3","77","Minnesota Vikings","Coby Bryant","CB","Cincinnati",336,436.8,80,67,73.5
"78","3","78","Cleveland Browns","Travis Jones","DL","Connecticut",382,420.2,69,72,70.5
"79","3","79","Los Angeles Chargers","Quay Walker","LB","Georgia",332,332,81,90,85.5
"80","3","80","Houston Texans","Jeremy Ruckert","TE","Ohio State",356,391.6,76,79,77.5
"81","3","81","New York Giants","Brandon Smith","LB","Penn State",326,326,82,91,86.5
"82","3","82","Atlanta Falcons","Bryan Cook","S","Cincinnati",285,342,93,88,90.5
"83","3","83","Philadelphia Eagles","Mykael Wright","CB","Oregon",318,413.4,83,75,79
"84","3","84","Pittsburgh Steelers","Thayer Munford","OG","Ohio State",279,334.8,94,89,91.5
"85","3","85","New England Patriots","Neil Farrell Jr.","DL","LSU",290,319,89,92,90.5
"86","3","86","Las Vegas Raiders","Romeo Doubs","WR","Nevada",297,356.4,87,85,86
"87","3","87","Arizona Cardinals","Sam Williams","EDGE","Ole Miss",307,368.4,86,83,84.5
"88","3","88","Dallas Cowboys","Haskell Garrett","DL","Ohio State",290,319,90,93,91.5
"89","3","89","Buffalo Bills","Christian Watson","WR","North Dakota State",296,355.2,88,86,87
"90","3","90","Tennessee Titans","Jalen Tolbert","WR","South Alabama",287,344.4,91,87,89
"91","3","91","Tampa Bay Buccaneers","Kenneth Walker III","RB","Michigan State",464,417.6,44,74,59
"92","3","92","Green Bay Packers","Abraham Lucas","OT","Washington State",245,318.5,103,94,98.5
"93","3","93","San Francisco 49ers","Marquis Hayes","OG","Oklahoma",260,312,99,96,97.5
"94","3","94","Kansas City Chiefs","Channing Tindall","LB","Georgia",274,274,95,108,101.5
"95","3","95","Cincinnati Bengals","Akayleb Evans","CB","Missouri",237,308.1,105,97,101
"96","3","96","Denver Broncos","Kellen Diesch","OT","Arizona State",229,297.7,108,99,103.5
"97","3","97","Detroit Lions","Justin Shaffer","OG","Georgia",256,307.2,101,98,99.5
"98","3","98","New Orleans Saints","Rasheed Walker","OT","Penn State",229,297.7,109,100,104.5
"99","3","99","Cleveland Browns","Alec Pierce","WR","Cincinnati",265,318,98,95,96.5
"100","3","100","Baltimore Ravens","Luke Fortner","OG","Kentucky",234,280.8,106,105,105.5
"101","3","101","New Orleans Saints","Kerby Joseph","S","Illinois",228,273.6,110,109,109.5
"102","3","102","Miami Dolphins","Kyren Williams","RB","Notre Dame",424,381.6,57,80,68.5
"103","3","103","Kansas City Chiefs","Jaivon Heiligh","WR","Coastal Carolina",243,291.6,104,102,103
"104","3","104","Los Angeles Rams","Lecitus Smith","OG","Virginia Tech",233,279.6,107,106,106.5
"105","3","105","San Francisco 49ers","Mario Goodrich","CB","Clemson",220,286,115,103,109
